State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Person Type,Injury Severity,Crash Date.day-of-week
Illinois,Clear,1/5/2011,1,Urban-Other Principal Arterial,50,Driver of a Motor Vehicle In-Transport,Possible Injury (C),3
Illinois,Clear,1/5/2011,1,Urban-Other Principal Arterial,69,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Mississippi,Rain,1/5/2011,1,Rural-Minor Arterial,20,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Pennsylvania,Clear,1/5/2011,1,Rural-Minor Collector,60,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
New Jersey,Clear,1/5/2011,1,Urban-Local Road or Street,36,Driver of a Motor Vehicle In-Transport,No Injury (O),3
New Jersey,Clear,1/5/2011,1,Urban-Local Road or Street,79,Pedestrian,Fatal Injury (K),3
Florida,Cloudy,1/5/2011,2,Rural-Principal Arterial-Interstate,17,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Florida,Cloudy,1/5/2011,2,Rural-Principal Arterial-Interstate,18,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Florida,Cloudy,1/5/2011,2,Rural-Principal Arterial-Interstate,19,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Maryland,Clear,1/5/2011,1,Rural-Principal Arterial-Other,5,Passenger of a Motor Vehicle In-Transport,No Injury (O),3
Maryland,Clear,1/5/2011,1,Rural-Principal Arterial-Other,7,Passenger of a Motor Vehicle In-Transport,No Injury (O),3
Maryland,Clear,1/5/2011,1,Rural-Principal Arterial-Other,11,Passenger of a Motor Vehicle In-Transport,No Injury (O),3
Florida,Clear,1/5/2011,1,Urban-Other Principal Arterial,34,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Tennessee,Snow,1/5/2011,1,Rural-Minor Arterial,1,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Tennessee,Snow,1/5/2011,1,Rural-Minor Arterial,38,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
California,Clear,1/5/2011,1,Rural-Major Collector,29,Driver of a Motor Vehicle In-Transport,No Injury (O),3
California,Clear,1/5/2011,1,Rural-Major Collector,81,Pedestrian,Fatal Injury (K),3
Oklahoma,Clear,1/5/2011,1,Rural-Principal Arterial-Other,86,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Florida,Clear,1/5/2011,2,Urban-Principal Arterial-Interstate,38,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Tennessee,Rain,1/5/2011,1,Rural-Principal Arterial-Other,54,Driver of a Motor Vehicle In-Transport,Possible Injury (C),3
Virginia,Clear,1/6/2011,1,Urban-Other Principal Arterial,55,Pedestrian,Fatal Injury (K),4
Virginia,Clear,1/6/2011,1,Urban-Other Principal Arterial,82,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Arkansas,Clear,1/6/2011,1,Rural-Local Road or Street,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Idaho,Cloudy,1/6/2011,1,Rural-Principal Arterial-Interstate,10,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Nebraska,Clear,1/6/2011,1,Urban-Local Road or Street,86,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Rhode Island,Clear,1/6/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Idaho,Cloudy,1/6/2011,1,Rural-Principal Arterial-Interstate,7,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Idaho,Cloudy,1/6/2011,1,Rural-Principal Arterial-Interstate,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Idaho,Cloudy,1/6/2011,1,Rural-Principal Arterial-Interstate,30,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,2,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,23,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,24,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,24,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,46,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Kentucky,Clear,1/6/2011,1,Urban-Principal Arterial-Interstate,,Driver of a Motor Vehicle In-Transport,No Injury (O),4
New York,Clear,1/6/2011,1,Urban-Minor Arterial,44,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
North Dakota,Cloudy,1/6/2011,1,Rural-Principal Arterial-Other,71,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
West Virginia,Clear,1/6/2011,1,Rural-Minor Arterial,67,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Arizona,Clear,1/6/2011,1,Rural-Major Collector,51,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
West Virginia,Clear,1/6/2011,1,Rural-Major Collector,34,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
New Jersey,Clear,1/6/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Pennsylvania,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,2,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Pennsylvania,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,28,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Wisconsin,Snow,1/6/2011,1,Rural-Principal Arterial-Other,58,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Wisconsin,Snow,1/6/2011,1,Rural-Principal Arterial-Other,69,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Wisconsin,Snow,1/6/2011,1,Rural-Principal Arterial-Other,69,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Indiana,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,64,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Indiana,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,74,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Clear,1/6/2011,1,Urban-Local Road or Street,83,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
North Dakota,Cloudy,1/6/2011,1,Rural-Principal Arterial-Other,75,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
West Virginia,Clear,1/6/2011,1,Rural-Minor Arterial,19,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
West Virginia,Clear,1/6/2011,1,Rural-Minor Arterial,66,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
West Virginia,Clear,1/6/2011,1,Rural-Major Collector,19,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),4
Indiana,Cloudy,1/6/2011,1,Rural-Major Collector,64,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Indiana,Cloudy,1/6/2011,1,Rural-Major Collector,,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Georgia,Cloudy,1/6/2011,1,Rural-Major Collector,64,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Florida,Clear,1/6/2011,1,Rural-Local Road or Street,40,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Georgia,"Fog, Smog, Smoke",1/6/2011,1,Urban-Principal Arterial-Interstate,53,Driver of a Motor Vehicle In-Transport,No Injury (O),4
North Carolina,Clear,1/6/2011,1,Rural-Local Road or Street,14,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
North Carolina,Clear,1/6/2011,1,Rural-Local Road or Street,14,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Georgia,Clear,1/6/2011,1,Rural-Minor Arterial,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Tennessee,Clear,1/6/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,22,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Tennessee,Clear,1/6/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Georgia,Clear,1/6/2011,1,Rural-Minor Arterial,53,Pedestrian,Fatal Injury (K),4
Utah,Clear,1/6/2011,1,Urban-Local Road or Street,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Wisconsin,Cloudy,1/6/2011,1,Rural-Principal Arterial-Other,65,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
New York,Cloudy,1/6/2011,1,Rural-Local Road or Street,57,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
New York,Cloudy,1/6/2011,1,Rural-Local Road or Street,75,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Illinois,Clear,1/6/2011,1,Urban-Minor Arterial,35,Driver of a Motor Vehicle In-Transport,No Injury (O),4
North Carolina,Clear,1/6/2011,1,Urban-Local Road or Street,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Texas,Clear,1/6/2011,1,Urban-Local Road or Street,38,Pedestrian,Fatal Injury (K),4
Texas,Clear,1/6/2011,1,Rural-Minor Collector,68,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Louisiana,Clear,1/6/2011,1,Urban-Other Principal Arterial,66,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Louisiana,Clear,1/6/2011,1,Urban-Other Principal Arterial,90,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Virginia,Clear,1/6/2011,1,Rural-Major Collector,56,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Hawaii,Clear,1/6/2011,1,Urban-Collector,41,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Hawaii,Clear,1/6/2011,1,Urban-Collector,85,Pedestrian,Fatal Injury (K),4
Indiana,Blowing Snow,1/6/2011,1,Rural-Major Collector,30,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Indiana,Blowing Snow,1/6/2011,1,Rural-Major Collector,42,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Indiana,Blowing Snow,1/6/2011,1,Rural-Major Collector,46,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Louisiana,Clear,1/6/2011,1,Rural-Principal Arterial-Interstate,25,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Louisiana,Clear,1/6/2011,1,Rural-Principal Arterial-Interstate,25,Pedestrian,Fatal Injury (K),4
New Jersey,Clear,1/6/2011,1,Urban-Other Principal Arterial,33,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Pennsylvania,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,4,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Pennsylvania,Snow,1/6/2011,1,Rural-Principal Arterial-Interstate,29,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
Wisconsin,Snow,1/6/2011,1,Rural-Principal Arterial-Other,70,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Mississippi,Clear,1/6/2011,1,Rural-Major Collector,24,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Mississippi,Clear,1/6/2011,1,Rural-Major Collector,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
New York,Clear,1/6/2011,2,Rural-Local Road or Street,33,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),4
New York,Clear,1/6/2011,2,Rural-Local Road or Street,38,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
California,Clear,1/6/2011,1,Rural-Principal Arterial-Other,60,Driver of a Motor Vehicle In-Transport,No Injury (O),4
North Carolina,Cloudy,1/6/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,38,Driver of a Motor Vehicle In-Transport,No Injury (O),4
North Carolina,Cloudy,1/6/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,41,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
North Carolina,Clear,1/6/2011,1,Rural-Major Collector,39,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
North Carolina,Clear,1/6/2011,1,Rural-Major Collector,39,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Georgia,Cloudy,1/6/2011,1,Rural-Major Collector,58,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Illinois,Snow,1/6/2011,1,Urban-Local Road or Street,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Georgia,"Fog, Smog, Smoke",1/6/2011,1,Urban-Principal Arterial-Interstate,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
North Carolina,Clear,1/6/2011,1,Rural-Local Road or Street,17,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Georgia,Clear,1/6/2011,1,Rural-Minor Arterial,18,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
North Carolina,Snow,1/7/2011,2,Rural-Major Collector,50,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Connecticut,Clear,1/7/2011,1,\N,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,40,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,41,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),5
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,43,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Maine,Clear,1/7/2011,1,Rural-Local Road or Street,20,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Maine,Clear,1/7/2011,1,Rural-Local Road or Street,20,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
North Carolina,Snow,1/7/2011,2,Rural-Major Collector,23,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
North Carolina,Snow,1/7/2011,2,Rural-Major Collector,35,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
North Carolina,Snow,1/7/2011,2,Rural-Major Collector,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,24,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,44,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Nevada,Clear,1/7/2011,1,Rural-Major Collector,61,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Colorado,Clear,1/7/2011,1,Rural-Local Road or Street,16,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Colorado,Clear,1/7/2011,1,Rural-Local Road or Street,17,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Iowa,Blowing Snow,1/7/2011,1,Rural-Major Collector,36,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Kentucky,Cloudy,1/7/2011,1,Urban-Other Principal Arterial,19,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Kentucky,Cloudy,1/7/2011,1,Urban-Other Principal Arterial,19,Pedestrian,Fatal Injury (K),5
Kentucky,Cloudy,1/7/2011,1,Urban-Other Principal Arterial,67,Occupant of a Motor Vehicle Not In- Transport,No Injury (O),5
Colorado,Clear,1/7/2011,1,Rural-Local Road or Street,18,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Iowa,Blowing Snow,1/7/2011,1,Rural-Major Collector,50,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Iowa,Blowing Snow,1/7/2011,1,Rural-Major Collector,53,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Clear,1/7/2011,1,Urban-Local Road or Street,25,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Colorado,Clear,1/7/2011,1,Urban-Other Principal Arterial,40,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Illinois,Clear,1/7/2011,1,Rural-Local Road or Street,30,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Illinois,Clear,1/7/2011,1,Rural-Local Road or Street,39,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kentucky,Snow,1/7/2011,1,Urban-Minor Arterial,32,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kentucky,Snow,1/7/2011,1,Urban-Minor Arterial,45,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Arizona,Clear,1/7/2011,1,Urban-Minor Arterial,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
California,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,40,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kansas,Clear,1/7/2011,1,Rural-Principal Arterial-Other,24,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Kansas,Clear,1/7/2011,1,Rural-Principal Arterial-Other,25,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Maryland,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,6,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
California,Clear,1/7/2011,1,Urban-Minor Arterial,71,Pedestrian,Fatal Injury (K),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Other,18,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Other,20,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Indiana,Snow,1/7/2011,1,Urban-Principal Arterial-Interstate,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Wisconsin,Snow,1/7/2011,1,Rural-Principal Arterial-Other,59,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Mississippi,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,70,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Missouri,Cloudy,1/7/2011,1,Rural-Principal Arterial-Other,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Jersey,Clear,1/7/2011,1,Urban-Local Road or Street,57,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
New Jersey,Clear,1/7/2011,1,Urban-Local Road or Street,58,Pedestrian,Fatal Injury (K),5
New Hampshire,Clear,1/7/2011,1,Rural-Major Collector,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Hampshire,Clear,1/7/2011,1,Rural-Major Collector,64,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Arkansas,Clear,1/7/2011,1,Urban-Local Road or Street,33,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arkansas,Clear,1/7/2011,1,Urban-Local Road or Street,,Persons In/On Buildings,"Injured, Severity Unknown",5
Illinois,Clear,1/7/2011,1,Rural-Local Road or Street,30,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Kentucky,Snow,1/7/2011,1,Urban-Minor Arterial,32,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Oregon,Cloudy,1/7/2011,1,Rural-Principal Arterial-Other,40,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
California,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,22,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Kansas,Clear,1/7/2011,1,Rural-Principal Arterial-Other,24,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Kansas,Clear,1/7/2011,1,Rural-Principal Arterial-Other,27,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Maryland,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,51,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Maryland,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,,Unknown Occupant Type in a Motor Vehicle In- Transport,Possible Injury (C),5
Florida,Clear,1/7/2011,1,Rural-Local Road or Street,35,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,30,Pedestrian,Fatal Injury (K),5
Florida,Clear,1/7/2011,1,Rural-Local Road or Street,59,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Georgia,Clear,1/7/2011,1,Rural-Major Collector,83,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alabama,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alabama,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
South Carolina,Cloudy,1/7/2011,1,Rural-Minor Arterial,45,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
South Carolina,Cloudy,1/7/2011,1,Rural-Minor Arterial,77,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
South Carolina,Cloudy,1/7/2011,1,Rural-Minor Arterial,40,Pedestrian,Fatal Injury (K),5
South Carolina,Cloudy,1/7/2011,1,Rural-Minor Arterial,49,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Texas,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arizona,Clear,1/7/2011,1,Urban-Other Principal Arterial,17,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Arizona,Clear,1/7/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Arizona,Clear,1/7/2011,1,Urban-Other Principal Arterial,54,Pedestrian,Fatal Injury (K),5
Texas,Clear,1/7/2011,1,Urban-Minor Arterial,49,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Texas,Clear,1/7/2011,1,Urban-Minor Arterial,69,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Arizona,Clear,1/7/2011,1,Urban-Collector,48,Bicyclist,Fatal Injury (K),5
Texas,Clear,1/7/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,42,Pedestrian,Fatal Injury (K),5
New York,Snow,1/7/2011,1,Rural-Local Road or Street,34,Pedestrian,Fatal Injury (K),5
New York,Snow,1/7/2011,1,Rural-Local Road or Street,63,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Texas,Clear,1/7/2011,1,Urban-Other Principal Arterial,18,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Texas,Clear,1/7/2011,1,Urban-Other Principal Arterial,30,Pedestrian,Fatal Injury (K),5
Texas,Clear,1/7/2011,1,Urban-Other Principal Arterial,50,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),5
Texas,Clear,1/7/2011,1,Urban-Other Principal Arterial,42,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
California,Clear,1/7/2011,1,Urban-Minor Arterial,63,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Maryland,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Missouri,Clear,1/7/2011,1,Rural-Principal Arterial-Other,32,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Ohio,Snow,1/7/2011,2,Rural-Local Road or Street,16,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Ohio,Snow,1/7/2011,2,Rural-Local Road or Street,17,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Other,14,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Other,16,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Other,47,Driver of a Motor Vehicle In-Transport,No Injury (O),5
California,Clear,1/7/2011,1,Urban-Local Road or Street,36,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Texas,Clear,1/7/2011,1,Rural-Principal Arterial-Other,41,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Indiana,Snow,1/7/2011,1,Urban-Principal Arterial-Interstate,23,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Indiana,Snow,1/7/2011,1,Urban-Principal Arterial-Interstate,49,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Wisconsin,Snow,1/7/2011,1,Rural-Principal Arterial-Other,33,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Mississippi,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,59,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Mississippi,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,79,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Jersey,Clear,1/7/2011,1,Urban-Local Road or Street,53,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
New Jersey,Clear,1/7/2011,1,Urban-Local Road or Street,63,Driver of a Motor Vehicle In-Transport,No Injury (O),5
South Carolina,Clear,1/7/2011,1,Rural-Principal Arterial-Other,32,Pedestrian,Fatal Injury (K),5
South Carolina,Clear,1/7/2011,1,Rural-Principal Arterial-Other,,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Mississippi,Clear,1/7/2011,1,Rural-Principal Arterial-Other,59,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Michigan,Snow,1/7/2011,1,Urban-Other Principal Arterial,79,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Ohio,Cloudy,1/7/2011,1,Rural-Local Road or Street,46,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Florida,Clear,1/7/2011,1,Rural-Local Road or Street,32,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Oklahoma,Clear,1/7/2011,1,Rural-Principal Arterial-Interstate,52,Driver of a Motor Vehicle In-Transport,No Injury (O),5
North Carolina,Cloudy,1/7/2011,1,Rural-Minor Collector,25,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
North Carolina,Cloudy,1/7/2011,1,Rural-Minor Collector,51,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Utah,Cloudy,1/8/2011,1,Urban-Principal Arterial-Interstate,51,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Nevada,Clear,1/8/2011,1,Urban-Minor Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
New Mexico,Clear,1/8/2011,1,Rural-Principal Arterial-Other,24,Pedestrian,Fatal Injury (K),6
Nevada,Clear,1/8/2011,1,Urban-Minor Arterial,36,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Maine,Cloudy,1/8/2011,1,Rural-Local Road or Street,34,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
New Mexico,Clear,1/8/2011,1,Rural-Principal Arterial-Other,21,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Arkansas,Clear,1/8/2011,1,Rural-Minor Arterial,58,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Kentucky,Clear,1/8/2011,1,Rural-Principal Arterial-Other,16,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Kentucky,Clear,1/8/2011,1,Rural-Principal Arterial-Other,30,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
